doctor_phone;doctor_specialization;doctor_first_name;doctor_patronymic;doctor_last_name;id_clinic
+66-903-454-8601;S1kvgjoal;Jobey;Happy;Bonnaire;1749
+7-130-178-8427;C1jneuf;Mona;Lynnett;Holyland;1340
+86-793-332-5344;G1lbmotvy;Hyacinth;Casi;Sivills;1021
+31-234-471-4438;V1tfaxnwl;Alysa;Clerkclaude;Stainton;1919
+385-567-695-5734;V1kupycnb;Teddie;Erena;Isworth;1218
+62-127-919-1063;U1xkwn;Manfred;Pauletta;Durand;211
+62-186-752-7374;A1gaky;Aurore;Fern;Fehner;1653
+62-335-935-2486;R1qeum;Alida;Karla;Genner;1938
+66-846-141-9675;A1romlpcy;Kayla;Laraine;Zanussii;1983
+33-144-631-5575;Y1vjdg;Jasun;Othella;Cockarill;685
+62-860-860-8364;Z1osk;Mirabella;Melesa;Artharg;757
+62-532-214-7032;M1atbjck;Ortensia;Casie;Notley;171
+358-527-592-4613;T1hbrmw;Enrico;Louise;Melchior;599
+46-837-243-5132;N1bis;Paulo;Christal;Shinner;1708
+48-309-821-4255;T1jybw;Urson;Chantalle;Lehrle;578
+375-573-705-3328;Q1rtgcbx;Abel;Gerda;Gristhwaite;254
+62-374-887-0034;N1tpinz;Consalve;Patrick;Brearton;1725
+33-871-353-7745;F1dkygnxu;Dag;Brig;Farriar;739
+86-958-794-2405;G1socidy;Emogene;Bronny;Di Giorgio;254
+963-334-626-6040;I1okxug;Betsey;Anastasia;Drewet;1727
+242-130-982-3682;Q1oisqy;Raleigh;Ivy;Mughal;1028
+86-992-597-1614;J1ypt;Stephen;Maritsa;Navein;807
+66-182-652-7821;V1tduj;Hervey;Mirna;Chill;370
+1-314-837-5321;L1ckbf;Bernardine;Susan;Furmonger;1076
+63-462-320-8894;X1syhv;Iago;Marylin;Revely;119
+62-325-218-4230;L1nhgsa;Shay;Job;Marikhin;1427
+98-122-100-9477;W1ygmqnfa;Tracy;Lance;Higgonet;838
+1-668-167-1228;F1ondvjbs;Christie;Betta;Morsey;658
+51-911-382-5757;B1rwe;Stanwood;Adrianne;Starling;319
+1-910-639-6435;T1olyxbz;Lorene;Tracey;Colvine;1053
+86-657-883-1362;H1fucavzh;Ailina;Valentijn;Wolfinger;251
+51-171-307-0249;A1ntz;Keslie;Deloria;Garrie;1237
+263-528-794-9779;E1knlts;Thorin;Matilde;Hannent;55
+86-729-102-6531;K1vzob;Nannette;Lillian;Ulster;110
+86-237-243-6890;S1jdqsl;Chico;Orren;Austins;1759
+502-410-842-0232;S1jgi;Sallyanne;Dyan;Rodgerson;1893
+86-665-940-0118;T1drps;Ardelia;Ignacius;Grzegorecki;334
+55-549-264-8353;Z1nsjqehg;Alexandros;Stanton;Espinet;1066
+86-866-590-0945;T1vocs;Shurwood;Bone;Pierrepoint;485
+7-791-966-5580;I1mdrjh;Johanna;Feliza;Punchard;1323
+55-332-303-1941;L1cponse;Skelly;Kenton;Pallatina;789
+380-124-160-2915;Q1ogjwhqv;Maurita;Talia;Dacca;972
+86-669-684-1837;W1kwcte;Goddard;Patience;Rime;279
+62-277-785-9237;Q1ekf;Alfreda;Aylmer;Alp;735
+86-930-820-5542;P1gvfdtj;Caddric;Otes;Summerill;180
+221-942-754-3726;Q1lqkmni;Anna-maria;Lynna;Brosius;1118
+7-303-588-7665;V1fdntuz;Guss;Nicola;Poxon;1405
+351-654-571-3906;U1zfy;Kelsey;Axel;Wintersgill;1610
+66-134-877-4375;N1vmde;Linnea;Gwendolin;Butterfint;274
+351-188-789-2654;J1qvdixlg;Haroun;Charlie;Bradshaw;713
+33-137-663-6697;G1gsfaev;Etheline;Heda;Van der Kruijs;1673
+216-741-481-2959;C1tgkj;Rosabel;Lukas;Barg;1235
+84-489-603-4870;R1kbgpcov;Miriam;Kimberlee;Filpi;489
+62-471-960-1404;T1rfsm;Far;Inger;Pes;788
+237-625-145-1284;S1fmldrj;Julio;Noby;Smithson;1301
+52-987-176-9635;B1lyqkcz;Sibeal;Dominique;Pyrke;1417
+86-672-684-7084;C1fsq;Jacklin;Carolann;Kincla;1989
+44-645-954-8546;G1cuhdrzp;Durward;Carling;Sandeman;14
+65-211-931-2560;S1dlbfc;Noel;Ariela;Glancy;30
+506-800-685-4145;X1abr;Becca;Godwin;Welch;334
+1-706-393-4000;V1wxjbmqg;Conan;Dody;Piggens;732
+62-413-623-8395;B1kyb;Dalston;Ricoriki;Piell;1350
+52-604-563-7393;H1aqfyp;Susanne;Noby;Covert;1137
+62-599-871-9875;T1rixltw;Helsa;Marylinda;Fernando;1927
+86-654-938-0773;M1zubkr;Jacquenetta;Corene;Demange;1133
+7-160-536-5307;E1tgxfj;Gallagher;Wilmer;Jillitt;1243
+381-616-321-2350;I1uym;Ruby;Cindelyn;Pyecroft;1312
+86-370-913-5075;E1jnekw;Harlene;Aleda;Hubbock;1913
+62-849-356-3186;U1laxiq;Forrester;Reiko;Yesichev;117
+234-823-949-6396;U1cdyqil;Maureene;Lorianne;Dennert;1882
+86-821-445-9488;T1kpxqh;Rudy;Demeter;McMillan;1604
+62-966-239-8613;K1fdhls;Melany;Jobina;Beevors;1550
+66-235-890-5624;O1ptshw;Gard;Lemmy;McCoveney;854
+7-853-842-9434;B1capvf;Malachi;Vanna;Riccelli;1689
+63-733-445-1059;R1htjdgw;Rocky;Templeton;Ferenczy;1148
+351-981-281-7296;O1xnugjk;Shanon;Bobinette;Shoebridge;543
+86-798-815-8766;F1tema;Birdie;Adelind;Kilford;1519
+976-711-563-1803;W1coujfz;Nolie;Valenka;Benedit;289
+54-158-113-1647;S1cql;Meir;Kahaleel;Boller;1135
+351-695-841-4011;E1cmn;Morry;Selma;Dalli;1957
+86-387-377-3502;Z1hqnxjpg;Aline;Ailee;Leverage;1471
+58-650-458-0214;X1eqlv;Filia;Dalli;Andryunin;1864
+967-994-141-0302;V1vzgtxey;Perl;Walsh;Petts;674
+55-416-145-9710;K1yse;Hebert;Addie;Rolland;323
+93-539-325-5993;B1jrbd;Aaren;Horst;Maase;991
+963-625-909-1416;Y1cyf;Collette;Gannon;Heeks;736
+7-176-127-3221;W1mhoc;Ollie;Huntington;Howen;1284
+351-381-770-2315;D1gwaoqkh;Gianna;Toby;Philippeaux;13
+420-425-427-1940;T1yxj;Madelaine;Kyrstin;Huddle;1217
+966-287-787-7435;A1oeg;Hoyt;Yale;Luxford;217
+51-538-386-2640;E1augpl;Jacqui;Bob;Huge;917
+62-180-886-0389;X1pstan;Jackie;Erl;Knights;458
+86-365-875-9055;Z1lsex;Raynard;Doro;Bolmann;15
+1-540-833-5842;V1qcgatn;Agatha;Merle;ffrench Beytagh;480
+41-128-744-1514;R1hwrieo;Kip;Roth;Hessel;645
+86-872-962-0280;U1rxbvhoq;Berky;Shelbi;Tukesby;368
